pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
PF,23,WSB,32,229,8.6,.424,.000,.309,14.8,18.8,16.8,5.3,1.1,1.8,18.3,14.3,,-0.1,0.3,0.1,.031,,-4.6,0.2,-4.4,-0.1
C,34,SAS,64,2034,18.8,.675,.005,.701,11.4,23.1,17.3,4.3,0.8,3.4,17.0,16.7,,4.8,1.9,6.7,.159,,1.0,1.8,2.7,2.4
SG,28,ATL,81,1503,15.5,.582,.004,.126,1.3,6.7,4.0,18.8,1.5,0.2,9.7,18.6,,2.8,1.1,3.9,.124,,1.1,-2.0,-0.9,0.4
C,24,NJN,82,1655,14.1,.572,.006,.398,10.9,19.1,14.9,7.2,1.0,2.5,18.1,15.9,,1.7,2.3,4.0,.116,,-0.5,0.8,0.3,1.0
PG,22,CLE,56,738,10.1,.489,.058,.310,1.2,7.5,4.2,25.4,1.6,0.0,18.2,17.7,,0.0,0.5,0.5,.032,,-3.1,-2.1,-5.1,-0.6
PG,29,UTA,81,2768,18.0,.532,.019,.259,2.3,6.2,4.4,35.9,3.6,0.2,14.6,16.9,,5.0,3.0,7.9,.138,,1.7,-0.3,1.4,2.4
PF,23,CHI,49,667,9.2,.487,.000,.338,9.8,20.3,15.0,5.5,1.3,1.5,18.6,20.0,,-0.6,0.8,0.3,.020,,-4.7,-0.5,-5.2,-0.5
PF,26,CHI,78,2718,13.5,.540,.001,.384,8.9,24.6,16.6,7.4,1.2,1.5,14.5,15.7,,2.1,3.6,5.7,.101,,-1.3,1.8,0.5,1.7
SG,30,MIL,64,923,13.1,.516,.134,.213,3.8,6.0,5.0,12.1,1.4,0.3,9.4,21.8,,1.0,1.0,2.0,.105,,0.3,-3.1,-2.8,-0.2
SG,25,UTA,82,2650,16.1,.539,.177,.152,4.0,9.1,6.7,16.5,2.0,0.4,13.8,26.4,,1.3,2.2,3.5,.063,,1.2,-1.2,0.0,1.4
SG,28,NYK,76,1119,9.6,.499,.025,.229,2.6,10.5,6.6,13.7,1.9,0.4,15.1,17.5,,0.0,1.6,1.6,.069,,-1.8,-0.7,-2.5,-0.1
